query,page,clicks,ctr,impressions,position
11 айфон купить спб,https://www.iport.ru/catalog/apple_iphone/iphone_11/,17,10.179640718562874,167,1.07
11 айфон купить спб,https://www.iport.ru/products/productID81881/,1,0.5988023952095809,167,1.07
11 айфон купить спб,https://www.iport.ru/products/productID81908/,1,0.5988023952095809,167,1.07
11 айфон цена спб,https://www.iport.ru/products/productID81882/,1,0.2232142857142857,448,1.9
11 айфон цена спб,https://www.iport.ru/catalog/apple_iphone/iphone_11/,45,8.538899430740038,527,1.92
11 айфон цена спб,https://www.iport.ru/products/productID81883/,1,0.18975332068311196,527,1.92
12 айфон цена спб,https://www.iport.ru/catalog/apple_iphone/iphone_12/,42,9.032258064516128,465,1.74
12 айфон цена спб,https://www.iport.ru/products/productID102962/,2,0.43010752688172044,465,1.73
12 айфон цена спб,https://www.iport.ru/products/productID96900/,1,0.2564102564102564,390,1.7
13 айфон купить спб,https://www.iport.ru/catalog/apple_iphone/iphone_13/,8,7.547169811320755,106,1.0
13 айфон купить спб,https://www.iport.ru/catalog/apple_iphone/iphone_13_pro/,1,1.1764705882352942,85,1.33
13 айфон цена спб,https://www.iport.ru/catalog/apple_iphone/iphone_13_pro/,2,0.42283298097251587,473,1.85
13 айфон цена спб,https://www.iport.ru/catalog/apple_iphone/iphone_13/,67,10.229007633587786,655,1.53
13 про купить спб,https://www.iport.ru/catalog/apple_iphone/iphone_13_pro/,4,6.153846153846154,65,1.48
13 про купить спб,https://www.iport.ru/catalog/apple_iphone/iphone_13/,2,3.0303030303030303,66,1.47
aaple,https://www.iport.ru/brand/apple/,0,0.0,1,9.0
aaple,https://www.iport.ru/,0,0.0,5,9.0
aioort,https://www.iport.ru/catalog/acc/,0,0.0,1,1.0
aioort,https://www.iport.ru/,1,100.0,1,1.0
aipot,https://www.iport.ru/,0,0.0,7,1.71
aipot,https://www.iport.ru/catalog/acc/,0,0.0,3,2.33
air m1 16gb 512gb,https://www.iport.ru/products/productID99248/,1,5.555555555555555,18,9.61
air m1 16gb 512gb,https://www.iport.ru/catalog/apple_mac/noutbuki_apple/apple_macbook_air/,2,3.278688524590164,61,8.41
airpods 1 купить спб,https://www.iport.ru/catalog/multimedia/airpods/,36,14.87603305785124,242,2.73
airpods 1 купить спб,https://www.iport.ru/,1,33.33333333333333,3,2.67
airpods 2 спб,https://www.iport.ru/catalog/multimedia/airpods/,6,7.6923076923076925,78,7.38
airpods 2 спб,https://www.iport.ru/,0,0.0,1,4.0
airpods 3 спб,https://www.iport.ru/catalog/multimedia/airpods/,12,12.0,100,1.06
airpods 3 спб,https://www.iport.ru/,0,0.0,1,9.0
airpods 3 чехол,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/chekhly_dlya_airpods_3/,39,2.53411306042885,1539,7.44
airpods 3 чехол,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/,0,0.0,150,8.51
airpods max купить спб,https://www.iport.ru/,1,100.0,1,4.0
airpods max купить спб,https://www.iport.ru/products/productID99696/,7,5.88235294117647,119,5.14
airpods pro 2 купить спб,https://www.iport.ru/products/productID84361/,1,3.571428571428571,28,6.86
airpods pro 2 купить спб,https://www.iport.ru/catalog/multimedia/airpods/,1,2.631578947368421,38,8.76
airpods pro case,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/chekhly_dlya_airpods_pro/,2,1.4705882352941175,136,7.01
airpods pro case,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/,0,0.0,3,5.0
airpods pro case,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/chekhly_dlya_airpods_pro/?SHOWALL_1=1,0,0.0,5,6.4
airpods pro купить спб,https://www.iport.ru/,3,100.0,3,2.33
airpods pro купить спб,https://www.iport.ru/products/productID84361/,84,5.4510058403634005,1541,6.46
airpods pro спб,https://www.iport.ru/catalog/multimedia/airpods/,17,8.854166666666668,192,7.82
airpods pro спб,https://www.iport.ru/,0,0.0,3,2.33
airpods pro спб,https://www.iport.ru/products/productID84361/,20,15.151515151515152,132,3.34
airpods pro спб,https://www.iport.ru/shops/iport-v-trk-grand-kanon/,1,100.0,1,3.0
airpods pro спб,https://www.iport.ru/iport-service/raduga/,1,50.0,2,2.0
airpods pro спб купить,https://www.iport.ru/products/productID84361/,6,21.428571428571427,28,6.32
airpods pro спб купить,https://www.iport.ru/catalog/multimedia/airpods/,3,5.88235294117647,51,8.61
airpods купить спб,https://www.iport.ru/catalog/multimedia/airpods/,263,18.37875611460517,1431,1.07
airpods купить спб,https://www.iport.ru/,6,75.0,8,2.25
airpods купить спб оригинал,https://www.iport.ru/,0,0.0,3,2.0
airpods купить спб оригинал,https://www.iport.ru/catalog/multimedia/airpods/,16,11.510791366906476,139,1.54
airpods спб,https://www.iport.ru/,2,100.0,2,9.5
airpods спб,https://www.iport.ru/catalog/multimedia/airpods/,40,15.873015873015872,252,1.0
airtag купить спб,https://www.iport.ru/products/productID103038/,57,16.666666666666664,342,1.0
airtag купить спб,https://www.iport.ru/products/productID103039/,1,3.225806451612903,31,7.32
airtag купить спб,https://www.iport.ru/catalog/acc/aksessuary_dlya_airtag/,16,5.369127516778524,298,4.45
aple,https://www.iport.ru/,1,0.4329004329004329,231,9.59
aple,https://www.iport.ru/brand/apple/,0,0.0,1,9.0
app store мурманск,https://www.iport.ru/,9,23.684210526315788,38,1.0
app store мурманск,https://www.iport.ru/shops/iport-v-trk-murmansk-moll/,1,2.631578947368421,38,3.0
app store спб,https://www.iport.ru/catalog/acc/,0,0.0,22,5.27
app store спб,https://www.iport.ru/,7,1.5217391304347827,460,6.33
appel,https://www.iport.ru/brand/apple/,0,0.0,2,9.5
appel,https://www.iport.ru/,2,0.4357298474945534,459,9.11
appel,https://www.iport.ru/catalog/acc/,0,0.0,1,6.0
appla,https://www.iport.ru/catalog/acc/,0,0.0,6,4.33
appla,https://www.iport.ru/,0,0.0,17,8.18
apple +,https://www.iport.ru/brand/apple/,0,0.0,1,9.0
apple +,https://www.iport.ru/,1,4.545454545454546,22,9.77
apple .com,https://www.iport.ru/,0,0.0,43,4.77
apple .com,https://www.iport.ru/brand/apple/,0,0.0,1,6.0
apple airpods 2 купить спб,https://www.iport.ru/catalog/multimedia/airpods/,3,2.7522935779816518,109,9.99
apple airpods 2 купить спб,https://www.iport.ru/,0,0.0,2,4.0
apple airpods 3 чехол,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/,0,0.0,6,9.33
apple airpods 3 чехол,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/chekhly_dlya_airpods_3/,1,2.3255813953488373,43,7.12
apple airpods pro купить спб,https://www.iport.ru/products/productID84361/,6,8.333333333333332,72,5.61
apple airpods pro купить спб,https://www.iport.ru/catalog/multimedia/airpods/,8,6.557377049180328,122,8.89
apple airtag купить спб,https://www.iport.ru/products/productID103038/,13,22.807017543859647,57,1.0
apple airtag купить спб,https://www.iport.ru/catalog/acc/aksessuary_dlya_airtag/,2,6.0606060606060606,33,7.48
apple case,https://www.iport.ru/catalog/acc/aksessuary_dlya_apple_watch/,0,0.0,1,4.0
apple case,https://www.iport.ru/catalog/acc/aksessuary_dlya_airpods/,0,0.0,1,4.0
apple case,https://www.iport.ru/catalog/acc/aksessuary_dlya_iphone/,0,0.0,1,4.0
apple com,https://www.iport.ru/,0,0.0,249,8.4
apple com,https://www.iport.ru/brand/apple/,0,0.0,13,7.92
apple dealer,https://www.iport.ru/brand/apple/,0,0.0,3,9.0
apple dealer,https://www.iport.ru/,0,0.0,10,8.9
apple discount,https://www.iport.ru/brand/apple/,0,0.0,1,6.0
apple discount,https://www.iport.ru/,0,0.0,2,9.0
apple galery,https://www.iport.ru/brand/apple/,0,0.0,2,9.0
apple galery,https://www.iport.ru/,0,0.0,11,9.64
apple official reseller,https://www.iport.ru/,1,5.263157894736842,19,6.37
apple official reseller,https://www.iport.ru/brand/apple/,0,0.0,5,4.6
apple official reseller russia,https://www.iport.ru/,0,0.0,9,5.22
apple official reseller russia,https://www.iport.ru/brand/apple/,0,0.0,2,6.0
apple official resellers,https://www.iport.ru/brand/apple/,0,0.0,1,6.0
apple official resellers,https://www.iport.ru/,0,0.0,1,6.0
apple online,https://www.iport.ru/brand/apple/,0,0.0,1,4.0
apple online,https://www.iport.ru/,1,33.33333333333333,3,7.33
apple online store,https://www.iport.ru/,0,0.0,21,9.9
apple online store,https://www.iport.ru/brand/apple/,0,0.0,1,6.0
apple piter,https://www.iport.ru/brand/apple/,0,0.0,2,4.0
apple piter,https://www.iport.ru/,1,3.7037037037037033,27,6.22
apple premium reseller russia,https://www.iport.ru/brand/apple/,0,0.0,3,5.67
apple premium reseller russia,https://www.iport.ru/,1,11.11111111111111,9,6.0
apple premium reseller москва,https://www.iport.ru/,1,25.0,4,2.25
apple premium reseller москва,https://www.iport.ru/brand/apple/,0,0.0,3,2.33
apple premium reseller москва,https://www.iport.ru/catalog/acc/,0,0.0,1,2.0
apple premium reseller россия,https://www.iport.ru/,2,8.695652173913043,23,5.65
apple premium reseller россия,https://www.iport.ru/brand/apple/,0,0.0,1,3.0
apple premium resseler,https://www.iport.ru/,0,0.0,5,6.6
apple premium resseler,https://www.iport.ru/brand/apple/,0,0.0,4,6.25
apple reseller russia,https://www.iport.ru/,1,3.225806451612903,31,6.26
apple reseller russia,https://www.iport.ru/brand/apple/,0,0.0,1,4.0
apple resellers,https://www.iport.ru/,0,0.0,5,7.0
apple resellers,https://www.iport.ru/brand/apple/,0,0.0,1,6.0
apple saint petersburg,https://www.iport.ru/,4,20.0,20,4.15
apple saint petersburg,https://www.iport.ru/catalog/acc/,0,0.0,1,2.0
apple saint petersburg,https://www.iport.ru/brand/apple/,0,0.0,8,5.62
apple seller,https://www.iport.ru/,0,0.0,1,4.0
apple seller,https://www.iport.ru/brand/apple/,0,0.0,1,4.0
apple shop спб,https://www.iport.ru/brand/apple/,0,0.0,59,8.56
apple shop спб,https://www.iport.ru/,2,2.1739130434782608,92,8.34
apple spb,https://www.iport.ru/brand/apple/,0,0.0,61,4.02
apple spb,https://www.iport.ru/catalog/apple_iphone/,1,0.9090909090909091,110,3.91
apple spb,https://www.iport.ru/,10,8.771929824561402,114,3.86
apple store saint petersburg russia,https://www.iport.ru/,1,10.0,10,6.0
apple store saint petersburg russia,https://www.iport.ru/brand/apple/,0,0.0,3,5.0
apple store spb,https://www.iport.ru/brand/apple/,0,0.0,6,4.33
apple store spb,https://www.iport.ru/,1,2.941176470588235,34,4.65
apple store мурманск,https://www.iport.ru/shops/iport-v-trk-murmansk-moll/,3,4.0,75,3.0
apple store мурманск,https://www.iport.ru/,6,18.181818181818183,33,1.0
apple store питер,https://www.iport.ru/brand/apple/,0,0.0,13,4.54
apple store питер,https://www.iport.ru/,6,10.16949152542373,59,4.54
apple store сайт,https://www.iport.ru/,0,0.0,5,8.0
apple store сайт,https://www.iport.ru/authorization/,0,0.0,1,8.0
apple store санкт петербург,https://www.iport.ru/brand/apple/,0,0.0,9,5.0
apple store санкт петербург,https://www.iport.ru/,8,7.547169811320755,106,4.85
apple store спб,https://www.iport.ru/,63,3.387096774193549,1860,4.75
apple store спб,https://www.iport.ru/brand/apple/,0,0.0,249,4.45
apple store сургут,https://www.iport.ru/,7,100.0,7,1.0
apple store сургут,https://www.iport.ru/shops/iport-v-trts-surgut-siti-moll/,11,6.707317073170732,164,3.0
apple student discount russia,https://www.iport.ru/bts_mac/,0,0.0,5,7.0
apple student discount russia,https://www.iport.ru/promo/students/,2,0.8547008547008548,234,7.32
apple tv 4k (2-го поколения),https://www.iport.ru/products/productID103034/,2,16.666666666666664,12,7.83
apple tv 4k (2-го поколения),https://www.iport.ru/products/productID103032/,2,10.0,20,6.8
apple usa,https://www.iport.ru/brand/apple/,0,0.0,16,6.56
apple usa,https://www.iport.ru/,0,0.0,145,8.03
